H T H T H T H T H T H T H T H T H T H T H T H T
NODE_75361_length_1637_cov_4.30278 3 2 4 2 7 0 0 0 2 1 0 0 4 0 3 0 3 1 0 1 1 0 7 0
NODE_94538_length_874_cov_16.3797 19 6 6 5 13 2 0 1 3 1 0 1 0 2 4 1 0 1 0 3 2 2 8 1
NODE_89652_length_986_cov_15.0064 24 20 149 21 1087 24 240 20 30 18 48 23 44 47 21 21 201 20 16 57 14 20 93 5
NODE_39381_length_926_cov_1.82664 1 0 2 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0
NODE_68137_length_1164_cov_3.66637 9 5 1 0 9 1 0 2 2 0 6 1 12 1 2 3 9 4 1 4 1 2 2 1
NODE_94672_length_942_cov_6.90755 69 16 12 10 50 8 4 8 8 4 12 3 13 9 7 10 18 6 4 5 7 10 37 3
NODE_49516_length_895_cov_1.76667 14 3 0 39 1 3 0 5 2 3 1 0 0 2 1 0 0 1 0 1 0 1 3 3
NODE_51699_length_1134_cov_2.52549 24 8 10 4 33 2 24 12 5 3 6 2 1 6 3 8 2 4 1 6 11 5 17 2
NODE_40936_length_848_cov_2.89155 0 2 0 2 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1
NODE_76778_length_1709_cov_2.84341 8 3 0 0 10 2 0 2 0 0 4 1 0 0 0 1 2 0 0 1 0 1 1 3
NODE_37738_length_975_cov_2.10435 5 2 0 1 1 1 0 4 0 3 0 2 0 0 0 0 0 0 0 2 0 0 1 6
NODE_69966_length_869_cov_4.81941 43 5 7 6 34 7 6 6 14 4 11 1 8 4 10 7 22 12 1 14 2 7 27 6
NODE_35720_length_856_cov_1.94632 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 1 0 1 0 1 0 0
NODE_109800_length_957_cov_1.82373 17 5 6 5 18 1 0 2 1 5 4 0 0 2 7 2 1 1 1 3 0 1 10 2
NODE_34787_length_863_cov_2.74629 0 0 1 0 0 0 0 0 0 0 0 0 5 0 1 0 0 0 0 0 0 0 1 0
NODE_67554_length_966_cov_1.0966 0 5 0 1 0 9 0 1 7 2 78 1 36 3 1 0 2 21 0 1 0 3 0 0
NODE_61795_length_1073_cov_3.38507 4 0 1 0 4 0 1 2 2 0 0 0 0 1 1 1 0 0 0 0 1 0 1 0
NODE_40924_length_1193_cov_3.72408 7 0 0 1 3 0 0 0 1 0 2 0 1 0 4 1 2 0 0 3 0 1 3 0
NODE_75399_length_975_cov_8.66957 42 31 14 33 30 3 16 19 12 1 4 6 10 5 7 1 10 1 2 3 4 3 36 17
NODE_51185_length_917_cov_2.13805 16 2 0 3 6 1 0 3 0 2 0 0 0 0 0 1 0 0 0 1 1 1 2 1
NODE_71502_length_957_cov_2.92572 0 1 1 1 3 0 0 1 2 0 0 0 0 0 2 0 1 0 0 0 0 0 2 0
NODE_48477_length_1260_cov_2.37759 2 0 0 1 6 0 0 0 0 1 0 0 0 0 2 1 1 0 1 1 0 0 2 0
NODE_34456_length_903_cov_1.72052 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 1 0 2 0 0 0 2 0
NODE_51250_length_958_cov_1.20819 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 3 0
NODE_88389_length_1435_cov_1.79275 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 6 0 1 0 0 0 0 0 0
NODE_67744_length_1086_cov_3.92338 1 0 2 0 5 0 0 0 1 0 1 1 11 0 3 0 0 0 0 1 0 0 1 5
NODE_37092_length_924_cov_1.99655 0 1 1 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0
NODE_35560_length_890_cov_1.18563 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
NODE_70475_length_1562_cov_2.89516 9 6 0 2 8 3 0 0 0 5 1 0 0 4 3 2 6 3 0 3 1 1 5 1
NODE_33759_length_848_cov_1.01513 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0
NODE_75241_length_869_cov_11.2224 13 2 1 1 8 2 0 0 3 0 4 0 1 3 5 2 3 2 1 4 1 2 3 0
NODE_61477_length_811_cov_6.47884 5 2 0 0 6 0 0 0 1 1 1 0 0 0 3 0 6 0 0 0 0 1 2 2
NODE_95387_length_1184_cov_3.31267 3 1 0 1 1 0 0 2 1 0 0 0 4 2 0 0 3 1 0 0 0 0 5 0
NODE_109794_length_1036_cov_3.8634 5 1 0 1 3 0 0 0 1 0 1 0 1 0 1 1 1 0 0 1 0 0 4 0
NODE_35947_length_857_cov_2.61222 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 1 8
NODE_41182_length_1163_cov_1.3917 4 0 1 2 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0
NODE_35677_length_882_cov_1.7896 4 0 0 0 1 0 0 0 0 14 1 0 0 0 2 0 2 0 0 0 0 0 0 2
NODE_62330_length_1084_cov_2.42274 3 2 0 0 2 0 0 1 2 0 2 0 0 0 0 0 0 0 0 0 0 0 2 0
NODE_35569_length_827_cov_1.52591 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0
NODE_100028_length_1235_cov_2.58644 1 0 1 1 5 0 0 6 0 0 1 0 0 0 1 0 4 2 0 0 1 0 1 0
NODE_22800_length_1021_cov_1.68219 0 0 0 0 2 0 0 0 0 1 0 0 2 0 1 0 0 0 0 0 3 0 0 0
NODE_81697_length_916_cov_3.82346 17 4 1 6 13 1 0 1 0 5 0 0 0 1 3 2 3 1 0 1 0 0 2 0
NODE_71026_length_954_cov_3.79755 6 4 0 1 4 1 0 1 0 0 0 0 3 1 1 1 0 0 0 1 0 1 2 0
NODE_41094_length_896_cov_1.95125 0 0 0 0 0 0 0 0 3 0 3 2 0 0 0 0 0 1 0 0 0 0 0 0
NODE_109792_length_923_cov_3.43664 6 3 1 2 2 0 0 1 0 0 0 0 0 2 0 0 0 0 0 1 0 1 4 0
NODE_38048_length_1391_cov_1.46856 0 0 0 0 4 0 0 0 1 1 0 0 5 0 0 0 0 0 1 0 0 0 0 0
NODE_39292_length_811_cov_2.53175 13 3 0 0 7 2 2 3 1 2 0 0 2 0 1 2 3 0 1 2 0 1 6 0
NODE_38073_length_853_cov_2.54637 3 0 0 1 0 0 0 0 0 0 2 0 2 0 0 2 0 1 0 1 0 0 0 0
NODE_62078_length_971_cov_2.42031 5 0 0 0 3 1 0 0 0 2 1 0 0 1 0 0 0 0 0 0 0 0 2 0
NODE_35011_length_965_cov_1.41319 3 0 0 0 3 0 0 1 1 0 0 0 2 0 0 0 0 0 0 0 0 0 3 0
